tag;genotype;run;day;Treatment;env_run;replicate;light;temperature;tank;FvFm
64-A;64;AL;CBASS;Control;Control_AL;A;600;27;1;0.519
P1R2-A;P1R2;AL;CBASS;Control;Control_AL;A;600;27;1;0.471
S-19-A;19;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.366
S-P1R2-A;P1R2;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.455
90-B;90;AL;CBASS;Control;Control_AL;B;600;27;1;0.539
S-64Y-A;64Y;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.376
19-A;19;AL;CBASS;Control;Control_AL;A;600;27;1;0.48
S-64-A;64;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.569
S-90-A;90;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.454
19-C;19;AL;CBASS;Control;Control_AL;C;600;27;1;0.497
90-C;90;AL;CBASS;Control;Control_AL;C;600;27;1;0.52
S-P1R2-B;P1R2;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.453
19-B;19;AL;CBASS;Control;Control_AL;B;600;27;1;0.573
64-C;64;AL;CBASS;Control;Control_AL;C;600;27;1;0.554
64Y-B;64Y;AL;CBASS;Control;Control_AL;B;600;27;1;0.548
64Y-C;64Y;AL;CBASS;Control;Control_AL;C;600;27;1;0.525
S-64Y-B;64Y;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.168
S-90-B;90;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.487
S-64-B;64;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.537
90-A;90;AL;CBASS;Control;Control_AL;A;600;27;1;0.658
S-90-C;90;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.519
64Y-A;64Y;AL;CBASS;Control;Control_AL;A;600;27;1;0.579
S-19-B;19;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.468
P1R2-C;P1R2;AL;CBASS;Control;Control_AL;C;600;27;1;0.548
S-64Y-C;64Y;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.555
P1R2-B;P1R2;AL;CBASS;Control;Control_AL;B;600;27;1;0.571
S-P1R2-C;P1R2;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.595
64-B;64;AL;CBASS;Control;Control_AL;B;600;27;1;0.675
S-19-C;19;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.517
S-64-C;64;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.571
64Y-D;64Y;AL;CBASS;Control;Control_AL;D;600;30;2;0.495
S-P1R2-D;P1R2;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.495
P1R2-D;P1R2;AL;CBASS;Control;Control_AL;D;600;30;2;0.414
64-D;64;AL;CBASS;Control;Control_AL;D;600;30;2;0.62
90-E;90;AL;CBASS;Control;Control_AL;E;600;30;2;0.571
S-90-D;90;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.469
S-64Y-D;64Y;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.334
S-19-D;19;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.316
90-F;90;AL;CBASS;Control;Control_AL;F;600;30;2;0.519
S-64-D;64;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.426
S-90-E;90;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.52
19-F;19;AL;CBASS;Control;Control_AL;F;600;30;2;0.492
64-F;64;AL;CBASS;Control;Control_AL;F;600;30;2;0.613
19-E;19;AL;CBASS;Control;Control_AL;E;600;30;2;0.552
S-64Y-E;64Y;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.424
S-19-E;19;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.445
64-E;64;AL;CBASS;Control;Control_AL;E;600;30;2;0.575
S-P1R2-E;P1R2;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.535
64Y-E;64Y;AL;CBASS;Control;Control_AL;E;600;30;2;0.525
S-64Y-F;64Y;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.492
P1R2-F;P1R2;AL;CBASS;Control;Control_AL;F;600;30;2;0.602
S-64-E;64;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.585
64Y-F;64Y;AL;CBASS;Control;Control_AL;F;600;30;2;0.605
90-D;90;AL;CBASS;Control;Control_AL;D;600;30;2;0.554
S-90-F;90;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.576
P1R2-E;P1R2;AL;CBASS;Control;Control_AL;E;600;30;2;0.608
S-P1R2-F;P1R2;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.571
19-D;19;AL;CBASS;Control;Control_AL;D;600;30;2;0.613
S-19-F;19;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.58
S-64-F;64;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.506
19-G;19;AL;CBASS;Control;Control_AL;G;600;33;3;0.502
S-64Y-G;64Y;AL;CBASS;Shade;Shade_AL;G;600;33;3;0.378
S-P1R2-G;P1R2;AL;CBASS;Shade;Shade_AL;G;600;33;3;0.358
90-H;90;AL;CBASS;Control;Control_AL;H;600;33;3;0.512
P1R2-G;P1R2;AL;CBASS;Control;Control_AL;G;600;33;3;0.397
S-90-G;90;AL;CBASS;Shade;Shade_AL;G;600;33;3;0.361
S-64-G;64;AL;CBASS;Shade;Shade_AL;G;600;33;3;0.262
S-64Y-H;64Y;AL;CBASS;Shade;Shade_AL;H;600;33;3;0.128
S-19-G;19;AL;CBASS;Shade;Shade_AL;G;600;33;3;0.324
S-P1R2-H;P1R2;AL;CBASS;Shade;Shade_AL;H;600;33;3;0.364
64-G;64;AL;CBASS;Control;Control_AL;G;600;33;3;0.505
64-I;64;AL;CBASS;Control;Control_AL;I;600;33;3;0.545
90-I;90;AL;CBASS;Control;Control_AL;I;600;33;3;0.479
64Y-H;64Y;AL;CBASS;Control;Control_AL;H;600;33;3;0.399
S-64-H;64;AL;CBASS;Shade;Shade_AL;H;600;33;3;0.42
19-I;19;AL;CBASS;Control;Control_AL;I;600;33;3;0.407
64Y-I;64Y;AL;CBASS;Control;Control_AL;I;600;33;3;0.553
S-90-H;90;AL;CBASS;Shade;Shade_AL;H;600;33;3;0.391
P1R2-I;P1R2;AL;CBASS;Control;Control_AL;I;600;33;3;0.483
64Y-G;64Y;AL;CBASS;Control;Control_AL;G;600;33;3;0.565
S-64Y-I;64Y;AL;CBASS;Shade;Shade_AL;I;600;33;3;0.364
S-P1R2-I;P1R2;AL;CBASS;Shade;Shade_AL;I;600;33;3;0.41
S-19-H;19;AL;CBASS;Shade;Shade_AL;H;600;33;3;0.46
S-64-I;64;AL;CBASS;Shade;Shade_AL;I;600;33;3;0.445
19-H;19;AL;CBASS;Control;Control_AL;H;600;33;3;0.529
S-90-I;90;AL;CBASS;Shade;Shade_AL;I;600;33;3;0.429
S-19-I;19;AL;CBASS;Shade;Shade_AL;I;600;33;3;0.017
90-G;90;AL;CBASS;Control;Control_AL;G;600;33;3;0.401
P1R2-H;P1R2;AL;CBASS;Control;Control_AL;H;600;33;3;0.515
64-H;64;AL;CBASS;Control;Control_AL;H;600;33;3;0.667
S-64-J;64;AL;CBASS;Shade;Shade_AL;J;600;36;4;0.098
19-J;19;AL;CBASS;Control;Control_AL;J;600;36;4;0.019
S-19-J;19;AL;CBASS;Shade;Shade_AL;J;600;36;4;0.031
S-P1R2-J;P1R2;AL;CBASS;Shade;Shade_AL;J;600;36;4;0.017
64-J;64;AL;CBASS;Control;Control_AL;J;600;36;4;0.028
S-64Y-J;64Y;AL;CBASS;Shade;Shade_AL;J;600;36;4;0.3
64Y-J;64Y;AL;CBASS;Control;Control_AL;J;600;36;4;0.227
S-P1R2-K;P1R2;AL;CBASS;Shade;Shade_AL;K;600;36;4;0.036
S-64-K;64;AL;CBASS;Shade;Shade_AL;K;600;36;4;0.062
S-19-K;19;AL;CBASS;Shade;Shade_AL;K;600;36;4;0.005
90-L;90;AL;CBASS;Control;Control_AL;L;600;36;4;0.011
S-64-L;64;AL;CBASS;Shade;Shade_AL;L;600;36;4;0.203
19-K;19;AL;CBASS;Control;Control_AL;K;600;36;4;0.131
S-64Y-K;64Y;AL;CBASS;Shade;Shade_AL;K;600;36;4;0.016
64Y-L;64Y;AL;CBASS;Control;Control_AL;L;600;36;4;0.188
90-J;90;AL;CBASS;Control;Control_AL;J;600;36;4;0.57
P1R2-L;P1R2;AL;CBASS;Control;Control_AL;L;600;36;4;0.62
64Y-K;64Y;AL;CBASS;Control;Control_AL;K;600;36;4;0.57
S-90-J;90;AL;CBASS;Shade;Shade_AL;J;600;36;4;0.034
64-L;64;AL;CBASS;Control;Control_AL;L;600;36;4;0.027
S-64Y-L;64Y;AL;CBASS;Shade;Shade_AL;L;600;36;4;0.091
S-P1R2-L;P1R2;AL;CBASS;Shade;Shade_AL;L;600;36;4;0.014
S-19-L;19;AL;CBASS;Shade;Shade_AL;L;600;36;4;0.017
P1R2-J;P1R2;AL;CBASS;Control;Control_AL;J;600;36;4;0.095
64-K;64;AL;CBASS;Control;Control_AL;K;600;36;4;0.042
19-L;19;AL;CBASS;Control;Control_AL;L;600;36;4;0.101
P1R2-K;P1R2;AL;CBASS;Control;Control_AL;K;600;36;4;0.217
S-90-K;90;AL;CBASS;Shade;Shade_AL;K;600;36;4;0.044
90-K;90;AL;CBASS;Control;Control_AL;K;600;36;4;0.019
S-90-L;90;AL;CBASS;Shade;Shade_AL;L;600;36;4;0.033
64-A;64;AL;Pre-CBASS;Control;Control_AL;A;600;24;0;0.54
P1R2-A;P1R2;AL;Pre-CBASS;Control;Control_AL;A;600;24;0;0.575
S-19-A;19;AL;Pre-CBASS;Shade;Shade_AL;A;600;24;0;0.652
S-P1R2-A;P1R2;AL;Pre-CBASS;Shade;Shade_AL;A;600;24;0;0.675
90-B;90;AL;Pre-CBASS;Control;Control_AL;B;600;24;0;0.725
S-64Y-A;64Y;AL;Pre-CBASS;Shade;Shade_AL;A;600;24;0;0.663
19-A;19;AL;Pre-CBASS;Control;Control_AL;A;600;24;0;0.677
S-64-A;64;AL;Pre-CBASS;Shade;Shade_AL;A;600;24;0;0.663
S-90-A;90;AL;Pre-CBASS;Shade;Shade_AL;A;600;24;0;0.697
19-C;19;AL;Pre-CBASS;Control;Control_AL;C;600;24;0;0.557
90-C;90;AL;Pre-CBASS;Control;Control_AL;C;600;24;0;0.622
S-P1R2-B;P1R2;AL;Pre-CBASS;Shade;Shade_AL;B;600;24;0;0.666
19-B;19;AL;Pre-CBASS;Control;Control_AL;B;600;24;0;0.551
64-C;64;AL;Pre-CBASS;Control;Control_AL;C;600;24;0;0.784
64Y-B;64Y;AL;Pre-CBASS;Control;Control_AL;B;600;24;0;0.6
64Y-C;64Y;AL;Pre-CBASS;Control;Control_AL;C;600;24;0;0.641
S-64Y-B;64Y;AL;Pre-CBASS;Shade;Shade_AL;B;600;24;0;0.677
S-90-B;90;AL;Pre-CBASS;Shade;Shade_AL;B;600;24;0;0.652
S-64-B;64;AL;Pre-CBASS;Shade;Shade_AL;B;600;24;0;0.658
90-A;90;AL;Pre-CBASS;Control;Control_AL;A;600;24;0;0.514
S-90-C;90;AL;Pre-CBASS;Shade;Shade_AL;C;600;24;0;0.674
64Y-A;64Y;AL;Pre-CBASS;Control;Control_AL;A;600;24;0;0.643
S-19-B;19;AL;Pre-CBASS;Shade;Shade_AL;B;600;24;0;0.682
P1R2-C;P1R2;AL;Pre-CBASS;Control;Control_AL;C;600;24;0;0.675
S-64Y-C;64Y;AL;Pre-CBASS;Shade;Shade_AL;C;600;24;0;0.686
P1R2-B;P1R2;AL;Pre-CBASS;Control;Control_AL;B;600;24;0;0.708
S-P1R2-C;P1R2;AL;Pre-CBASS;Shade;Shade_AL;C;600;24;0;0.667
64-B;64;AL;Pre-CBASS;Control;Control_AL;B;600;24;0;0.533
S-19-C;19;AL;Pre-CBASS;Shade;Shade_AL;C;600;24;0;0.679
S-64-C;64;AL;Pre-CBASS;Shade;Shade_AL;C;600;24;0;0.656
64Y-D;64Y;AL;Pre-CBASS;Control;Control_AL;D;600;24;0;0.675
S-P1R2-D;P1R2;AL;Pre-CBASS;Shade;Shade_AL;D;600;24;0;0.671
P1R2-D;P1R2;AL;Pre-CBASS;Control;Control_AL;D;600;24;0;0.643
64-D;64;AL;Pre-CBASS;Control;Control_AL;D;600;24;0;0.67
90-E;90;AL;Pre-CBASS;Control;Control_AL;E;600;24;0;0.519
S-90-D;90;AL;Pre-CBASS;Shade;Shade_AL;D;600;24;0;0.666
S-64Y-D;64Y;AL;Pre-CBASS;Shade;Shade_AL;D;600;24;0;0.68
S-19-D;19;AL;Pre-CBASS;Shade;Shade_AL;D;600;24;0;0.685
90-F;90;AL;Pre-CBASS;Control;Control_AL;F;600;24;0;0.638
S-64-D;64;AL;Pre-CBASS;Shade;Shade_AL;D;600;24;0;0.695
S-90-E;90;AL;Pre-CBASS;Shade;Shade_AL;E;600;24;0;0.693
19-F;19;AL;Pre-CBASS;Control;Control_AL;F;600;24;0;0.562
64-F;64;AL;Pre-CBASS;Control;Control_AL;F;600;24;0;0.668
19-E;19;AL;Pre-CBASS;Control;Control_AL;E;600;24;0;0.678
S-64Y-E;64Y;AL;Pre-CBASS;Shade;Shade_AL;E;600;24;0;0.67
S-19-E;19;AL;Pre-CBASS;Shade;Shade_AL;E;600;24;0;0.665
64-E;64;AL;Pre-CBASS;Control;Control_AL;E;600;24;0;0.569
S-P1R2-E;P1R2;AL;Pre-CBASS;Shade;Shade_AL;E;600;24;0;0.682
64Y-E;64Y;AL;Pre-CBASS;Control;Control_AL;E;600;24;0;0.689
S-64Y-F;64Y;AL;Pre-CBASS;Shade;Shade_AL;F;600;24;0;0.682
P1R2-F;P1R2;AL;Pre-CBASS;Control;Control_AL;F;600;24;0;0.611
S-64-E;64;AL;Pre-CBASS;Shade;Shade_AL;E;600;24;0;0.673
64Y-F;64Y;AL;Pre-CBASS;Control;Control_AL;F;600;24;0;0.667
90-D;90;AL;Pre-CBASS;Control;Control_AL;D;600;24;0;0.537
S-90-F;90;AL;Pre-CBASS;Shade;Shade_AL;F;600;24;0;0.681
P1R2-E;P1R2;AL;Pre-CBASS;Control;Control_AL;E;600;24;0;0.638
S-P1R2-F;P1R2;AL;Pre-CBASS;Shade;Shade_AL;F;600;24;0;0.663
19-D;19;AL;Pre-CBASS;Control;Control_AL;D;600;24;0;0.691
S-19-F;19;AL;Pre-CBASS;Shade;Shade_AL;F;600;24;0;0.666
S-64-F;64;AL;Pre-CBASS;Shade;Shade_AL;F;600;24;0;0.657
19-G;19;AL;Pre-CBASS;Control;Control_AL;G;600;24;0;0.664
S-64Y-G;64Y;AL;Pre-CBASS;Shade;Shade_AL;G;600;24;0;0.695
S-P1R2-G;P1R2;AL;Pre-CBASS;Shade;Shade_AL;G;600;24;0;0.665
90-H;90;AL;Pre-CBASS;Control;Control_AL;H;600;24;0;0.661
P1R2-G;P1R2;AL;Pre-CBASS;Control;Control_AL;G;600;24;0;0.689
S-90-G;90;AL;Pre-CBASS;Shade;Shade_AL;G;600;24;0;0.663
S-64-G;64;AL;Pre-CBASS;Shade;Shade_AL;G;600;24;0;0.7
S-64Y-H;64Y;AL;Pre-CBASS;Shade;Shade_AL;H;600;24;0;0.687
S-19-G;19;AL;Pre-CBASS;Shade;Shade_AL;G;600;24;0;0.676
S-P1R2-H;P1R2;AL;Pre-CBASS;Shade;Shade_AL;H;600;24;0;0.662
64-G;64;AL;Pre-CBASS;Control;Control_AL;G;600;24;0;0.635
64-I;64;AL;Pre-CBASS;Control;Control_AL;I;600;24;0;0.58
90-I;90;AL;Pre-CBASS;Control;Control_AL;I;600;24;0;0.684
64Y-H;64Y;AL;Pre-CBASS;Control;Control_AL;H;600;24;0;0.679
S-64-H;64;AL;Pre-CBASS;Shade;Shade_AL;H;600;24;0;0.685
19-I;19;AL;Pre-CBASS;Control;Control_AL;I;600;24;0;0.569
64Y-I;64Y;AL;Pre-CBASS;Control;Control_AL;I;600;24;0;0.654
S-90-H;90;AL;Pre-CBASS;Shade;Shade_AL;H;600;24;0;0.689
P1R2-I;P1R2;AL;Pre-CBASS;Control;Control_AL;I;600;24;0;0.689
64Y-G;64Y;AL;Pre-CBASS;Control;Control_AL;G;600;24;0;0.614
S-64Y-I;64Y;AL;Pre-CBASS;Shade;Shade_AL;I;600;24;0;0.688
S-P1R2-I;P1R2;AL;Pre-CBASS;Shade;Shade_AL;I;600;24;0;0.696
S-19-H;19;AL;Pre-CBASS;Shade;Shade_AL;H;600;24;0;0.679
S-64-I;64;AL;Pre-CBASS;Shade;Shade_AL;I;600;24;0;0.698
19-H;19;AL;Pre-CBASS;Control;Control_AL;H;600;24;0;0.639
S-90-I;90;AL;Pre-CBASS;Shade;Shade_AL;I;600;24;0;0.703
S-19-I;19;AL;Pre-CBASS;Shade;Shade_AL;I;600;24;0;0.683
90-G;90;AL;Pre-CBASS;Control;Control_AL;G;600;24;0;0.67
P1R2-H;P1R2;AL;Pre-CBASS;Control;Control_AL;H;600;24;0;0.678
64-H;64;AL;Pre-CBASS;Control;Control_AL;H;600;24;0;0.517
S-64-J;64;AL;Pre-CBASS;Shade;Shade_AL;J;600;24;0;0.653
19-J;19;AL;Pre-CBASS;Control;Control_AL;J;600;24;0;0.586
S-19-J;19;AL;Pre-CBASS;Shade;Shade_AL;J;600;24;0;0.667
S-P1R2-J;P1R2;AL;Pre-CBASS;Shade;Shade_AL;J;600;24;0;0.675
64-J;64;AL;Pre-CBASS;Control;Control_AL;J;600;24;0;0.54
S-64Y-J;64Y;AL;Pre-CBASS;Shade;Shade_AL;J;600;24;0;0.677
64Y-J;64Y;AL;Pre-CBASS;Control;Control_AL;J;600;24;0;0.628
S-P1R2-K;P1R2;AL;Pre-CBASS;Shade;Shade_AL;K;600;24;0;0.69
S-64-K;64;AL;Pre-CBASS;Shade;Shade_AL;K;600;24;0;0.685
S-19-K;19;AL;Pre-CBASS;Shade;Shade_AL;K;600;24;0;0.674
90-L;90;AL;Pre-CBASS;Control;Control_AL;L;600;24;0;0.689
S-64-L;64;AL;Pre-CBASS;Shade;Shade_AL;L;600;24;0;0.656
19-K;19;AL;Pre-CBASS;Control;Control_AL;K;600;24;0;0.546
S-64Y-K;64Y;AL;Pre-CBASS;Shade;Shade_AL;K;600;24;0;0.683
64Y-L;64Y;AL;Pre-CBASS;Control;Control_AL;L;600;24;0;0.687
90-J;90;AL;Pre-CBASS;Control;Control_AL;J;600;24;0;0.639
P1R2-L;P1R2;AL;Pre-CBASS;Control;Control_AL;L;600;24;0;0.654
64Y-K;64Y;AL;Pre-CBASS;Control;Control_AL;K;600;24;0;0.676
S-90-J;90;AL;Pre-CBASS;Shade;Shade_AL;J;600;24;0;0.692
64-L;64;AL;Pre-CBASS;Control;Control_AL;L;600;24;0;0.613
S-64Y-L;64Y;AL;Pre-CBASS;Shade;Shade_AL;L;600;24;0;0.705
S-P1R2-L;P1R2;AL;Pre-CBASS;Shade;Shade_AL;L;600;24;0;0.611
S-19-L;19;AL;Pre-CBASS;Shade;Shade_AL;L;600;24;0;0.683
P1R2-J;P1R2;AL;Pre-CBASS;Control;Control_AL;J;600;24;0;0.671
64-K;64;AL;Pre-CBASS;Control;Control_AL;K;600;24;0;0.663
19-L;19;AL;Pre-CBASS;Control;Control_AL;L;600;24;0;0.657
P1R2-K;P1R2;AL;Pre-CBASS;Control;Control_AL;K;600;24;0;0.586
S-90-K;90;AL;Pre-CBASS;Shade;Shade_AL;K;600;24;0;0.681
