tag;genotype;run;day;Treatment;env_run;replicate;light;temperature;tank;FvFm
S-19-C;19;VL;CBASS;Shade;Shade_VL;C;70;27;1;0.62
S-90-A;90;VL;CBASS;Shade;Shade_VL;A;70;27;1;0.613
S-64Y-A;64Y;VL;CBASS;Shade;Shade_VL;A;70;27;1;0.631
64-C;64;VL;CBASS;Control;Control_VL;C;70;27;1;0.643
S-90-C;90;VL;CBASS;Shade;Shade_VL;C;70;27;1;0.639
90-C;90;VL;CBASS;Control;Control_VL;C;70;27;1;0.646
64Y-A;64Y;VL;CBASS;Control;Control_VL;A;70;27;1;0.595
S-P1R2-B;P1R2;VL;CBASS;Shade;Shade_VL;B;70;27;1;0.65
S-64Y-B;64Y;VL;CBASS;Shade;Shade_VL;B;70;27;1;0.637
19-C;19;VL;CBASS;Control;Control_VL;C;70;27;1;0.617
90-A;90;VL;CBASS;Control;Control_VL;A;70;27;1;0.594
S-90-B;90;VL;CBASS;Shade;Shade_VL;B;70;27;1;0.75
90-B;90;VL;CBASS;Control;Control_VL;B;70;27;1;0.624
S-64-C;64;VL;CBASS;Shade;Shade_VL;C;70;27;1;0.632
P1R2-A;P1R2;VL;CBASS;Control;Control_VL;A;70;27;1;0.613
S-19-A;19;VL;CBASS;Shade;Shade_VL;A;70;27;1;0.628
S-64-A;64;VL;CBASS;Shade;Shade_VL;A;70;27;1;0.629
S-64-B;64;VL;CBASS;Shade;Shade_VL;B;70;27;1;0.615
19-A;19;VL;CBASS;Control;Control_VL;A;70;27;1;0.57
64-B;64;VL;CBASS;Control;Control_VL;B;70;27;1;0.65
64Y-B;64Y;VL;CBASS;Control;Control_VL;B;70;27;1;0.645
S-P1R2-A;P1R2;VL;CBASS;Shade;Shade_VL;A;70;27;1;0.631
S-19-B;19;VL;CBASS;Shade;Shade_VL;B;70;27;1;0.633
S-64Y-C;64Y;VL;CBASS;Shade;Shade_VL;C;70;27;1;0.621
64Y-C;64Y;VL;CBASS;Control;Control_VL;C;70;27;1;0.652
P1R2-C;P1R2;VL;CBASS;Control;Control_VL;C;70;27;1;0.581
S-P1R2-C;P1R2;VL;CBASS;Shade;Shade_VL;C;70;27;1;0.625
64-A;64;VL;CBASS;Control;Control_VL;A;70;27;1;0.64
19-B;19;VL;CBASS;Control;Control_VL;B;70;27;1;0.64
S-90-F;90;VL;CBASS;Shade;Shade_VL;F;600;27;2;0.442
S-64-D;64;VL;CBASS;Shade;Shade_VL;D;600;27;2;0.476
64-E;64;VL;CBASS;Control;Control_VL;E;600;27;2;0.537
64-F;64;VL;CBASS;Control;Control_VL;F;600;27;2;0.504
90-E;90;VL;CBASS;Control;Control_VL;E;600;27;2;0.54
S-90-E;90;VL;CBASS;Shade;Shade_VL;E;600;27;2;0.425
90-D;90;VL;CBASS;Control;Control_VL;D;600;27;2;0.365
64-D;64;VL;CBASS;Control;Control_VL;D;600;27;2;0.39
64Y-E;64Y;VL;CBASS;Control;Control_VL;E;600;27;2;0.356
64Y-D;64Y;VL;CBASS;Control;Control_VL;D;600;27;2;0.494
S-64Y-E;64Y;VL;CBASS;Shade;Shade_VL;E;600;27;2;0.378
P1R2-E;P1R2;VL;CBASS;Control;Control_VL;E;600;27;2;0.487
S-19-D;19;VL;CBASS;Shade;Shade_VL;D;600;27;2;0.52
S-P1R2-E;P1R2;VL;CBASS;Shade;Shade_VL;E;600;27;2;0.446
P1R2-D;P1R2;VL;CBASS;Control;Control_VL;D;600;27;2;0.35
S-64Y-F;64Y;VL;CBASS;Shade;Shade_VL;F;600;27;2;0.451
S-64-F;64;VL;CBASS;Shade;Shade_VL;F;600;27;2;0.505
S-P1R2-D;P1R2;VL;CBASS;Shade;Shade_VL;D;600;27;2;0.475
19-F;19;VL;CBASS;Control;Control_VL;F;600;27;2;0.544
S-P1R2-F;P1R2;VL;CBASS;Shade;Shade_VL;F;600;27;2;0.566
19-D;19;VL;CBASS;Control;Control_VL;D;600;27;2;0.546
S-19-F;19;VL;CBASS;Shade;Shade_VL;F;600;27;2;0.534
S-64Y-D;64Y;VL;CBASS;Shade;Shade_VL;D;600;27;2;0.556
S-19-E;19;VL;CBASS;Shade;Shade_VL;E;600;27;2;0.4
S-64-E;64;VL;CBASS;Shade;Shade_VL;E;600;27;2;0.582
64Y-F;64Y;VL;CBASS;Control;Control_VL;F;600;27;2;0.594
P1R2-F;P1R2;VL;CBASS;Control;Control_VL;F;600;27;2;0.568
90-F;90;VL;CBASS;Control;Control_VL;F;600;27;2;0.659
19-E;19;VL;CBASS;Control;Control_VL;E;600;27;2;0.561
S-90-D;90;VL;CBASS;Shade;Shade_VL;D;600;27;2;0.554
19-H;19;VL;CBASS;Control;Control_VL;H;1100;27;3;0.421
64-H;64;VL;CBASS;Control;Control_VL;H;1100;27;3;0.525
S-64Y-I;64Y;VL;CBASS;Shade;Shade_VL;I;1100;27;3;0.342
S-64Y-H;64Y;VL;CBASS;Shade;Shade_VL;H;1100;27;3;0.2
64-G;64;VL;CBASS;Control;Control_VL;G;1100;27;3;0.478
S-90-I;90;VL;CBASS;Shade;Shade_VL;I;1100;27;3;0.39
P1R2-H;P1R2;VL;CBASS;Control;Control_VL;H;1100;27;3;0.359
S-64Y-G;64Y;VL;CBASS;Shade;Shade_VL;G;1100;27;3;0.264
P1R2-G;P1R2;VL;CBASS;Control;Control_VL;G;1100;27;3;0.626
S-P1R2-H;P1R2;VL;CBASS;Shade;Shade_VL;H;1100;27;3;0.397
S-64-G;64;VL;CBASS;Shade;Shade_VL;G;1100;27;3;0.243
90-G;90;VL;CBASS;Control;Control_VL;G;1100;27;3;0.423
64Y-H;64Y;VL;CBASS;Control;Control_VL;H;1100;27;3;0.181
64Y-I;64Y;VL;CBASS;Control;Control_VL;I;1100;27;3;0.26
19-I;19;VL;CBASS;Control;Control_VL;I;1100;27;3;0.401
90-H;90;VL;CBASS;Control;Control_VL;H;1100;27;3;0.297
19-G;19;VL;CBASS;Control;Control_VL;G;1100;27;3;0.477
S-P1R2-G;P1R2;VL;CBASS;Shade;Shade_VL;G;1100;27;3;0.34
S-19-G;19;VL;CBASS;Shade;Shade_VL;G;1100;27;3;0.266
P1R2-I;P1R2;VL;CBASS;Control;Control_VL;I;1100;27;3;0.473
90-I;90;VL;CBASS;Control;Control_VL;I;1100;27;3;0.331
S-P1R2-I;P1R2;VL;CBASS;Shade;Shade_VL;I;1100;27;3;0.407
S-19-H;19;VL;CBASS;Shade;Shade_VL;H;1100;27;3;0.257
S-64-I;64;VL;CBASS;Shade;Shade_VL;I;1100;27;3;0.34
64Y-G;64Y;VL;CBASS;Control;Control_VL;G;1100;27;3;0.495
64-I;64;VL;CBASS;Control;Control_VL;I;1100;27;3;0.507
S-90-H;90;VL;CBASS;Shade;Shade_VL;H;1100;27;3;0.441
S-90-G;90;VL;CBASS;Shade;Shade_VL;G;1100;27;3;0.421
S-19-I;19;VL;CBASS;Shade;Shade_VL;I;1100;27;3;0.346
S-64-H;64;VL;CBASS;Shade;Shade_VL;H;1100;27;3;0.36
S-19-L;19;VL;CBASS;Shade;Shade_VL;L;1500;27;4;0.184
90-J;90;VL;CBASS;Control;Control_VL;J;1500;27;4;0.368
S-90-K;90;VL;CBASS;Shade;Shade_VL;K;1500;27;4;0.172
S-90-J;90;VL;CBASS;Shade;Shade_VL;J;1500;27;4;0.271
S-P1R2-J;P1R2;VL;CBASS;Shade;Shade_VL;J;1500;27;4;0.288
P1R2-L;P1R2;VL;CBASS;Control;Control_VL;L;1500;27;4;0.377
19-J;19;VL;CBASS;Control;Control_VL;J;1500;27;4;0.064
S-64-J;64;VL;CBASS;Shade;Shade_VL;J;1500;27;4;0.171
19-K;19;VL;CBASS;Control;Control_VL;K;1500;27;4;0.187
S-90-L;90;VL;CBASS;Shade;Shade_VL;L;1500;27;4;0.142
S-P1R2-K;P1R2;VL;CBASS;Shade;Shade_VL;K;1500;27;4;0.236
P1R2-J;P1R2;VL;CBASS;Control;Control_VL;J;1500;27;4;0.218
64Y-K;64Y;VL;CBASS;Control;Control_VL;K;1500;27;4;0.299
64Y-L;64Y;VL;CBASS;Control;Control_VL;L;1500;27;4;0.292
S-19-J;19;VL;CBASS;Shade;Shade_VL;J;1500;27;4;0.162
64-L;64;VL;CBASS;Control;Control_VL;L;1500;27;4;0.228
S-19-K;19;VL;CBASS;Shade;Shade_VL;K;1500;27;4;0.162
90-K;90;VL;CBASS;Control;Control_VL;K;1500;27;4;0.207
S-64-K;64;VL;CBASS;Shade;Shade_VL;K;1500;27;4;0.256
64-J;64;VL;CBASS;Control;Control_VL;J;1500;27;4;0.374
S-64-L;64;VL;CBASS;Shade;Shade_VL;L;1500;27;4;0.205
64-K;64;VL;CBASS;Control;Control_VL;K;1500;27;4;0.226
90-L;90;VL;CBASS;Control;Control_VL;L;1500;27;4;0.254
S-64Y-L;64Y;VL;CBASS;Shade;Shade_VL;L;1500;27;4;0.123
S-64Y-J;64Y;VL;CBASS;Shade;Shade_VL;J;1500;27;4;0.171
P1R2-K;P1R2;VL;CBASS;Control;Control_VL;K;1500;27;4;0.214
19-L;19;VL;CBASS;Control;Control_VL;L;1500;27;4;0.305
S-P1R2-L;P1R2;VL;CBASS;Shade;Shade_VL;L;1500;27;4;0.277
S-64Y-K;64Y;VL;CBASS;Shade;Shade_VL;K;1500;27;4;0.089
64Y-J;64Y;VL;CBASS;Control;Control_VL;J;1500;27;4;0.272
P1R2-B;P1R2;VL;Pre-CBASS;Control;Control_VL;B;70;24;0;0.667
S-19-C;19;VL;Pre-CBASS;Shade;Shade_VL;C;70;24;0;0.636
S-90-A;90;VL;Pre-CBASS;Shade;Shade_VL;A;70;24;0;0.701
S-64Y-A;64Y;VL;Pre-CBASS;Shade;Shade_VL;A;70;24;0;0.697
64-C;64;VL;Pre-CBASS;Control;Control_VL;C;70;24;0;0.622
S-90-C;90;VL;Pre-CBASS;Shade;Shade_VL;C;70;24;0;0.697
90-C;90;VL;Pre-CBASS;Control;Control_VL;C;70;24;0;0.66
64Y-A;64Y;VL;Pre-CBASS;Control;Control_VL;A;70;24;0;0.548
S-P1R2-B;P1R2;VL;Pre-CBASS;Shade;Shade_VL;B;70;24;0;0.663
S-64Y-B;64Y;VL;Pre-CBASS;Shade;Shade_VL;B;70;24;0;0.645
19-C;19;VL;Pre-CBASS;Control;Control_VL;C;70;24;0;0.658
90-A;90;VL;Pre-CBASS;Control;Control_VL;A;70;24;0;0.631
S-90-B;90;VL;Pre-CBASS;Shade;Shade_VL;B;70;24;0;0.686
90-B;90;VL;Pre-CBASS;Control;Control_VL;B;70;24;0;0.623
S-64-C;64;VL;Pre-CBASS;Shade;Shade_VL;C;70;24;0;0.646
P1R2-A;P1R2;VL;Pre-CBASS;Control;Control_VL;A;70;24;0;0.56
S-19-A;19;VL;Pre-CBASS;Shade;Shade_VL;A;70;24;0;0.69
S-64-A;64;VL;Pre-CBASS;Shade;Shade_VL;A;70;24;0;0.637
S-64-B;64;VL;Pre-CBASS;Shade;Shade_VL;B;70;24;0;0.649
19-A;19;VL;Pre-CBASS;Control;Control_VL;A;70;24;0;0.593
64-B;64;VL;Pre-CBASS;Control;Control_VL;B;70;24;0;0.663
64Y-B;64Y;VL;Pre-CBASS;Control;Control_VL;B;70;24;0;0.617
S-P1R2-A;P1R2;VL;Pre-CBASS;Shade;Shade_VL;A;70;24;0;0.662
S-19-B;19;VL;Pre-CBASS;Shade;Shade_VL;B;70;24;0;0.653
S-64Y-C;64Y;VL;Pre-CBASS;Shade;Shade_VL;C;70;24;0;0.667
64Y-C;64Y;VL;Pre-CBASS;Control;Control_VL;C;70;24;0;0.688
P1R2-C;P1R2;VL;Pre-CBASS;Control;Control_VL;C;70;24;0;0.494
S-P1R2-C;P1R2;VL;Pre-CBASS;Shade;Shade_VL;C;70;24;0;0.73
64-A;64;VL;Pre-CBASS;Control;Control_VL;A;70;24;0;0.652
19-B;19;VL;Pre-CBASS;Control;Control_VL;B;70;24;0;0.698
S-90-F;90;VL;Pre-CBASS;Shade;Shade_VL;F;600;24;0;0.688
S-64-D;64;VL;Pre-CBASS;Shade;Shade_VL;D;600;24;0;0.647
64-E;64;VL;Pre-CBASS;Control;Control_VL;E;600;24;0;0.658
64-F;64;VL;Pre-CBASS;Control;Control_VL;F;600;24;0;0.698
90-E;90;VL;Pre-CBASS;Control;Control_VL;E;600;24;0;0.688
S-90-E;90;VL;Pre-CBASS;Shade;Shade_VL;E;600;24;0;0.644
90-D;90;VL;Pre-CBASS;Control;Control_VL;D;600;24;0;0.696
64-D;64;VL;Pre-CBASS;Control;Control_VL;D;600;24;0;0.692
64Y-E;64Y;VL;Pre-CBASS;Control;Control_VL;E;600;24;0;0.565
64Y-D;64Y;VL;Pre-CBASS;Control;Control_VL;D;600;24;0;0.659
S-64Y-E;64Y;VL;Pre-CBASS;Shade;Shade_VL;E;600;24;0;0.696
P1R2-E;P1R2;VL;Pre-CBASS;Control;Control_VL;E;600;24;0;0.547
S-19-D;19;VL;Pre-CBASS;Shade;Shade_VL;D;600;24;0;0.65
S-P1R2-E;P1R2;VL;Pre-CBASS;Shade;Shade_VL;E;600;24;0;0.643
P1R2-D;P1R2;VL;Pre-CBASS;Control;Control_VL;D;600;24;0;0.607
S-64Y-F;64Y;VL;Pre-CBASS;Shade;Shade_VL;F;600;24;0;0.677
S-64-F;64;VL;Pre-CBASS;Shade;Shade_VL;F;600;24;0;0.673
S-P1R2-D;P1R2;VL;Pre-CBASS;Shade;Shade_VL;D;600;24;0;0.666
19-F;19;VL;Pre-CBASS;Control;Control_VL;F;600;24;0;0.537
S-P1R2-F;P1R2;VL;Pre-CBASS;Shade;Shade_VL;F;600;24;0;0.658
19-D;19;VL;Pre-CBASS;Control;Control_VL;D;600;24;0;0.474
S-19-F;19;VL;Pre-CBASS;Shade;Shade_VL;F;600;24;0;0.649
S-64Y-D;64Y;VL;Pre-CBASS;Shade;Shade_VL;D;600;24;0;0.65
S-19-E;19;VL;Pre-CBASS;Shade;Shade_VL;E;600;24;0;0.655
S-64-E;64;VL;Pre-CBASS;Shade;Shade_VL;E;600;24;0;0.667
64Y-F;64Y;VL;Pre-CBASS;Control;Control_VL;F;600;24;0;0.616
P1R2-F;P1R2;VL;Pre-CBASS;Control;Control_VL;F;600;24;0;0.63
90-F;90;VL;Pre-CBASS;Control;Control_VL;F;600;24;0;0.68
19-E;19;VL;Pre-CBASS;Control;Control_VL;E;600;24;0;0.697
S-90-D;90;VL;Pre-CBASS;Shade;Shade_VL;D;600;24;0;0.651
19-H;19;VL;Pre-CBASS;Control;Control_VL;H;1100;24;0;0.603
64-H;64;VL;Pre-CBASS;Control;Control_VL;H;1100;24;0;0.547
S-64Y-I;64Y;VL;Pre-CBASS;Shade;Shade_VL;I;1100;24;0;0.667
S-64Y-H;64Y;VL;Pre-CBASS;Shade;Shade_VL;H;1100;24;0;0.654
64-G;64;VL;Pre-CBASS;Control;Control_VL;G;1100;24;0;0.659
S-90-I;90;VL;Pre-CBASS;Shade;Shade_VL;I;1100;24;0;0.7
P1R2-H;P1R2;VL;Pre-CBASS;Control;Control_VL;H;1100;24;0;0.545
S-64Y-G;64Y;VL;Pre-CBASS;Shade;Shade_VL;G;1100;24;0;0.658
P1R2-G;P1R2;VL;Pre-CBASS;Control;Control_VL;G;1100;24;0;0.674
S-P1R2-H;P1R2;VL;Pre-CBASS;Shade;Shade_VL;H;1100;24;0;0.646
S-64-G;64;VL;Pre-CBASS;Shade;Shade_VL;G;1100;24;0;0.647
90-G;90;VL;Pre-CBASS;Control;Control_VL;G;1100;24;0;0.657
64Y-H;64Y;VL;Pre-CBASS;Control;Control_VL;H;1100;24;0;0.701
64Y-I;64Y;VL;Pre-CBASS;Control;Control_VL;I;1100;24;0;0.634
19-I;19;VL;Pre-CBASS;Control;Control_VL;I;1100;24;0;0.658
90-H;90;VL;Pre-CBASS;Control;Control_VL;H;1100;24;0;0.692
19-G;19;VL;Pre-CBASS;Control;Control_VL;G;1100;24;0;0.592
S-P1R2-G;P1R2;VL;Pre-CBASS;Shade;Shade_VL;G;1100;24;0;0.623
S-19-G;19;VL;Pre-CBASS;Shade;Shade_VL;G;1100;24;0;0.669
P1R2-I;P1R2;VL;Pre-CBASS;Control;Control_VL;I;1100;24;0;0.586
90-I;90;VL;Pre-CBASS;Control;Control_VL;I;1100;24;0;0.697
S-P1R2-I;P1R2;VL;Pre-CBASS;Shade;Shade_VL;I;1100;24;0;0.639
S-19-H;19;VL;Pre-CBASS;Shade;Shade_VL;H;1100;24;0;0.631
S-64-I;64;VL;Pre-CBASS;Shade;Shade_VL;I;1100;24;0;0.645
64Y-G;64Y;VL;Pre-CBASS;Control;Control_VL;G;1100;24;0;0.582
64-I;64;VL;Pre-CBASS;Control;Control_VL;I;1100;24;0;0.673
S-90-H;90;VL;Pre-CBASS;Shade;Shade_VL;H;1100;24;0;0.649
S-90-G;90;VL;Pre-CBASS;Shade;Shade_VL;G;1100;24;0;0.7
S-19-I;19;VL;Pre-CBASS;Shade;Shade_VL;I;1100;24;0;0.665
S-64-H;64;VL;Pre-CBASS;Shade;Shade_VL;H;1100;24;0;0.641
S-19-L;19;VL;Pre-CBASS;Shade;Shade_VL;L;1500;24;0;0.672
90-J;90;VL;Pre-CBASS;Control;Control_VL;J;1500;24;0;0.698
S-90-K;90;VL;Pre-CBASS;Shade;Shade_VL;K;1500;24;0;0.688
S-90-J;90;VL;Pre-CBASS;Shade;Shade_VL;J;1500;24;0;0.644
S-P1R2-J;P1R2;VL;Pre-CBASS;Shade;Shade_VL;J;1500;24;0;0.644
P1R2-L;P1R2;VL;Pre-CBASS;Control;Control_VL;L;1500;24;0;0.537
19-J;19;VL;Pre-CBASS;Control;Control_VL;J;1500;24;0;0.639
S-64-J;64;VL;Pre-CBASS;Shade;Shade_VL;J;1500;24;0;0.66
19-K;19;VL;Pre-CBASS;Control;Control_VL;K;1500;24;0;0.686
S-90-L;90;VL;Pre-CBASS;Shade;Shade_VL;L;1500;24;0;0.693
S-P1R2-K;P1R2;VL;Pre-CBASS;Shade;Shade_VL;K;1500;24;0;0.634
P1R2-J;P1R2;VL;Pre-CBASS;Control;Control_VL;J;1500;24;0;0.708
64Y-K;64Y;VL;Pre-CBASS;Control;Control_VL;K;1500;24;0;0.604
64Y-L;64Y;VL;Pre-CBASS;Control;Control_VL;L;1500;24;0;0.708
S-19-J;19;VL;Pre-CBASS;Shade;Shade_VL;J;1500;24;0;0.668
64-L;64;VL;Pre-CBASS;Control;Control_VL;L;1500;24;0;0.698
S-19-K;19;VL;Pre-CBASS;Shade;Shade_VL;K;1500;24;0;0.67
90-K;90;VL;Pre-CBASS;Control;Control_VL;K;1500;24;0;0.668
S-64-K;64;VL;Pre-CBASS;Shade;Shade_VL;K;1500;24;0;0.647
64-J;64;VL;Pre-CBASS;Control;Control_VL;J;1500;24;0;0.644
S-64-L;64;VL;Pre-CBASS;Shade;Shade_VL;L;1500;24;0;0.647
64-K;64;VL;Pre-CBASS;Control;Control_VL;K;1500;24;0;0.693
90-L;90;VL;Pre-CBASS;Control;Control_VL;L;1500;24;0;0.682
S-64Y-L;64Y;VL;Pre-CBASS;Shade;Shade_VL;L;1500;24;0;0.686
S-64Y-J;64Y;VL;Pre-CBASS;Shade;Shade_VL;J;1500;24;0;0.687
P1R2-K;P1R2;VL;Pre-CBASS;Control;Control_VL;K;1500;24;0;0.703
19-L;19;VL;Pre-CBASS;Control;Control_VL;L;1500;24;0;0.682
S-P1R2-L;P1R2;VL;Pre-CBASS;Shade;Shade_VL;L;1500;24;0;0.663
S-64Y-K;64Y;VL;Pre-CBASS;Shade;Shade_VL;K;1500;24;0;0.701
64Y-J;64Y;VL;Pre-CBASS;Control;Control_VL;J;1500;24;0;0.668
